session_title,speakers,audio_recording_link,tipsheets
QGIS 1: Spatial analysis for beginners,"Wesley Stephenson, BBC; Callum Thomson, BBC News",NA,<a href='https://paper.dropbox.com/doc/QGIS-1-Spatial-analysis-for-beginners--CLBvWki1x2GfmVKMHQ3beDiXAg-uvjZbFlTN3cRbi4infpQA'>Tutorial</a>
"Starting, growing and maintaining a data desk at student publications","Katherine Oung & Rhea Patney & Brina Ratangee, The Vanderbilt Hustler; Victoria Stavish, The Diamondback; Lam Thuy Vo, The Craig Newmark Graduate School of Journalism at City University New York and The Markup; Rina Torchinsky, Forbes; Shreya Vuttaluru, Tampa Bay Times",<a href='https://resources.ire.org/audio/20240308-30528.mp3'>Audio Recording</a>,NA
Web scraping in R with rvest,"Hadley Wickham, Posit",NA,<a href='https://github.com/hadley/web-scraping'>GitHub repo</a>
Building a sustainable data journalism infrastructure,"Diana Fuentes, IRE & NICAR; Marc Lavallee, John S. and James L. Knight Foundation; Cheryl Phillips, Stanford University",<a href='https://resources.ire.org/audio/20240308-30531.mp3'>Audio Recording</a>,NA
Finding needles in haystacks with fuzzy matching,"Max Harlow, Financial Times",NA,<a href='https://docs.google.com/presentation/d/1XvU_ooWQLLWvK88ehVIBcQqiaqpwxDHXNkkqZ9kVS_8/edit#slide=id.g52423af19d_0_53'>Slides</a>
First automated chart: Taking Datawrapper to the moon,"Sergio Sanchez Zavala, TalkingPoints; Ben Welsh, Reuters",NA,<a href='https://palewi.re/docs/first-automated-chart/'>Tutorial</a>
QGIS 2: Analyzing geographic data,"Wesley Stephenson, BBC; Callum Thomson, BBC News",NA,<a href='https://paper.dropbox.com/doc/QGIS-2-Analyzing-geographic-data--CLA9ObUjwYzqJL9OiEtFvF~1Ag-atj9nstA9nQPhSWYqahh6'>Tutorial</a>
R 1: Intro to R and RStudio,"Rob Wells, Philip Merrill College of Journalism, University of Maryland",NA,<a href='https://github.com/profrobwells/Guest_Lectures/tree/master/Intro_to_R_2024'>GitHub repo</a>
Visual investigations,"Carlotta Dotto, CNN; Tisha Thompson, ESPN; Tracee Wilkins, WRC",<a href='https://resources.ire.org/audio/20240308-30525.mp3'>Audio Recording</a>,NA
Weathering the stormy news business,"Tara García Mathewson & Jon Keegan, The Markup; Paroma Soni, Politico",<a href='https://resources.ire.org/audio/20240308-30529.mp3'>Audio Recording</a>,NA
Behind the story: 2023 Philip Meyer winners,"Justin-Casimir Braun, Lighthouse Reports; Sarah Cohen, Arizona State University; Jason Grotto, Bloomberg News; Aaron Sankin, The Markup; Leon Yin, Bloomberg",<a href='https://resources.ire.org/audio/20240308-30526.mp3'>Audio Recording</a>,NA
Datasette: An ecosystem of tools for exploring data and collaborating on data projects,"Simon Willison, Datasette",NA,<a href='https://github.com/datasette/nicar-2024-datasette'>GitHub repo</a>
"Fire, smoke and prevention: Using data to investigate the wildfire crisis","Adiel Kaplan, NBC News; Veronica Penney, The Washington Post; Emily Zentner, The California Newsroom",NA,"<a href='https://docs.google.com/presentation/d/1qMcwHH2Haf6v83pKicXW2YBkeUoKCRouCYedJ_frNrA/edit#slide=id.p'>Slides</a>, <a href='https://docs.google.com/document/d/1Qx18FxRmzs_g5Ruvcuj3-y22OLsIRetIbgMz0XbwUM4/edit'>Tipsheet</a>"
Mapping disparities in the news with QGIS,"Rosmery Izaguirre & Sean McMinn, Politico",NA,<a href='https://github.com/shmcminn/qgis-nicar-24 '>GitHub repo</a>
